1,"(4.5, 23.5)"
2,"(23.25, 18.75)"
3,"(23, 23)"
4,"(19.5, 3.5)"
5,"(36, 31)"
6,"(14.25, 10)"
7,"(10.25, 27.25)"
8,"(29.5, 10.25)"
9,"(9.75, 11.25)"
10,"(19.5, 31.25)"
11,"(42.25, 19.5)"
12,"(36.25, 7.5)"
1,"(6.25, 23.25)"
2,"(23, 18.75)"
3,"(25.25, 23.25)"
4,"(19.5, 4.5)"
5,"(35.5, 29.5)"
6,"(15.5, 10.25)"
7,"(10.25, 26.25)"
8,"(28, 9.75)"
9,"(10.25, 8)"
10,"(19.25, 32)"
11,"(41, 19)"
12,"(36.25, 8.5)"
1,"(2.75, 22.75)"
2,"(21.25, 20)"
3,"(23.75, 21.75)"
4,"(19.75, 3)"
5,"(35.75, 32.25)"
6,"(15, 10.25)"
7,"(10.75, 26.5)"
8,"(28, 9.5)"
9,"(9, 9)"
10,"(19, 29.5)"
11,"(41.75, 19.25)"
12,"(35.75, 6.5)"
1,"(3.5, 23.25)"
2,"(24, 18.5)"
3,"(22.75, 23.5)"
4,"(20, 3.75)"
5,"(35.75, 30.25)"
6,"(14, 9.75)"
7,"(10.5, 27)"
8,"(30.25, 10.5)"
9,"(10.25, 4.5)"
10,"(19.5, 31)"
11,"(42.25, 18.75)"
12,"(36.25, 9)"
1,"(5.25, 23)"
2,"(24, 18.75)"
3,"(24.25, 22.25)"
4,"(19.75, 4.5)"
5,"(36.75, 28.5)"
6,"(15.75, 9.75)"
7,"(11.25, 27)"
8,"(28.5, 9.5)"
9,"(10, 9.75)"
10,"(20, 25.75)"
11,"(40.75, 19.5)"
12,"(36, 10)"
1,"(5.25, 22.5)"
2,"(19.75, 19.5)"
3,"(32.25, 21.5)"
4,"(19.5, 3.25)"
5,"(35.5, 31.25)"
6,"(15.5, 10.25)"
7,"(11.25, 26.75)"
8,"(30, 9.5)"
9,"(9.25, 6.25)"
10,"(20.5, 33.5)"
11,"(42.25, 20.5)"
12,"(35.5, 8.25)"
1,"(4.25, 23)"
2,"(21, 20)"
3,"(26.25, 19.75)"
4,"(19, 3.5)"
5,"(35.75, 30)"
6,"(14.25, 9.25)"
7,"(11, 26.5)"
8,"(27.75, 9.5)"
9,"(10.25, 7.75)"
10,"(21, 29.25)"
11,"(41.25, 18.75)"
12,"(35.5, 9.25)"
1,"(5.75, 23.5)"
2,"(24, 20.5)"
3,"(26.25, 22.25)"
4,"(20, 2.5)"
5,"(36.25, 30.75)"
6,"(14.75, 10)"
7,"(11, 27.75)"
8,"(27, 9.5)"
9,"(9.75, 10.25)"
10,"(18.5, 30.75)"
11,"(42.25, 19)"
12,"(36, 8.5)"
1,"(6, 22.5)"
2,"(20.5, 18.75)"
3,"(30.75, 21.75)"
4,"(19.5, 4.25)"
5,"(35.5, 29.5)"
6,"(15.5, 9.25)"
7,"(11, 26)"
8,"(28.75, 9.25)"
9,"(10.75, 10.25)"
10,"(20, 30.25)"
11,"(41, 21)"
